,book url
0,http://www.oreilly.com/data/free/files/understanding-chief-data-officer.pdf
1,https://www.ida.liu.se/~TDDD43/themes/themeNOSQLlabs/2009-Hadoop.pdf
2,https://lintool.github.io/MapReduceAlgorithms/MapReduce-book-final.pdf
3,http://www.greenteapress.com/thinkpython/thinkpython.pdf
4,http://www.tutorialspoint.com/sql/sql_tutorial.pdf
5,http://arxiv.org/pdf/0904.3664.pdf
6,http://mineriaddatos.wikispaces.com/file/view/Data+Mining+With+Rattle+and+R_+The+Art+of+Excavating+Data+for+Knowledge+Discovery+-+Graham+Williams.pdf
7,http://www.huaat.com/download/2009091Marketing.pdf
8,http://www-ai.ijs.si/SasoDzeroski/ILPBook/ILPbook.pdf
9,http://www.rmki.kfki.hu/~banmi/elte/Bishop%20-%20Pattern%20Recognition%20and%20Machine%20Learning.pdf
10,http://www.nataraz.in/data/ebook/hadoop/Data_Mining_and_Business_Analytics_with_R__Johannes_Ledolter.pdf
11,http://web4.cs.ucl.ac.uk/staff/D.Barber/textbook/240415.pdf
12,http://www.gaussianprocess.org/gpml/chapters/RW.pdf
13,http://people.inf.elte.hu/lorincz/Files/RL_2006/SuttonBook.pdf
14,http://www.ualberta.ca/~szepesva/papers/RLAlgsInMDPs.pdf
15,"http://pdf.th7.cn/down/files/1411/Big%20Data,%20Data%20Mining,%20and%20Machine%20Learning.pdf"
16,http://www.freeopen.org/wp-content/uploads/2013/10/KB_neural_data_mining.pdf
17,http://www.cs.rpi.edu/~zaki/PaperDir/DMABOOK.pdf
18,http://greenteapress.com/thinkstats2/thinkstats2.pdf
19,http://web.stanford.edu/~hastie/local.ftp/Springer/OLD/ESLII_print4.pdf
20,http://www-bcf.usc.edu/~gareth/ISL/ISLR%20Fourth%20Printing.pdf
21,http://users.stat.umn.edu/~gary/book/fcdae.pdf
22,http://hortonworks.com/wp-content/uploads/downloads/2013/04/DisruptivePossibilities.pdf
23,http://www.pentaho.com/assets/pdf/CqPxTROXtCpfoLrUi4Bj.pdf
24,http://cdn.oreillystatic.com/oreilly/radarreport/0636920028307/Big_Data_Now_2012_Edition.pdf
25,http://cvrs.whu.edu.cn/downloads/ebooks/Concise%20Computer%20Vision%20-%20An%20Introduction%20into%20Therory%20and%20Algorithm.pdf
26,http://www.cin.ufpe.br/~tfl2/artificial-intelligence-modern-approach.9780131038059.25368.pdf
